;Subject;ProlificNo;Age;Sex;check.RESP;BlockCondition;RESP_LTM;CRESP_LTM;TypeLTM;TypeSTM;RESP1;RESP2;RESP3;RESP4;RESP5;RESP6;CRESP1;CRESP2;CRESP3;CRESP4;nWords
3803;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;;;;Related;palec;ogorek;metal;gozdzik;NA;NA;palec;ogorek;metal;gozdzik;4
3804;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;;;;Unrelated;tata;szesciokat;jesiotr;buk;NA;NA;tata;szesciokat;lody;krowa;4
3805;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;x;krowa;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3806;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;jesiotr;pstrag;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3807;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;pegaz;harpia;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3808;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;miedz;braz;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3809;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;x;palec;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3810;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;x;sandaly;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3811;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;x;ogorek;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3812;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;x;metal;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3813;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;x;saksofon;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3814;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;cukierki;lody;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3815;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;buk;swierk;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3816;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;;tata;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3817;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;x;euro;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3818;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;szesciokat;szesciokat;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3819;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;opal;bursztyn;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3820;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;x;gozdzik;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3821;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;;;;Related;noga;centaur;ziemniak;topaz;NA;NA;noga;centaur;ziemniak;topaz;4
3822;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;;;;Unrelated;perkusja;topaz;tort;wierzba;NA;NA;perkusja;trapez;tort;wierzba;4
3823;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;;;;Unrelated;cynk;dziadek;slon;marka;NA;NA;cynk;dziadek;slon;marka;4
3824;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;;;;Related;soul;fladra;tulipan;baleriny;NA;NA;soul;fladra;tulipan;baleriny;4
3825;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;x;marka;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3826;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;baleriny;baleriny;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3827;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;ciastka;tort;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3828;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;x;ziemniak;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3829;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;fladra;fladra;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3830;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;trapez;trapez;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3831;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;reka;noga;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3832;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;topaz;topaz;Rel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3833;1653;5f83c8f31854ab56a1f68bea;28;mężczyzna;t;short;x;cynk;Unrel;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
